API_Name,API_LM_Coeff,API_LM_Interc,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2080,0.95 - 0.99,8.5,40960,1570,0.13718,0.0365,0.00369,45060.48937,0,0,0,0,0,0.21297,0.11102,0.51709,0.15893
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0 - 0.001,8.5,40960,1570,0.13718,0.13342,0.01339,68247.22678,0,0,0,0,0,0,0.05071,0.59913,0.35016
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0.001 - 0.9,8.5,40960,1570,0.13718,0.11883,0.01193,67134.76126,0,0,0,0,0,0,0.05248,0.62012,0.32739
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0.9 - 0.95,8.5,40960,1570,0.13718,0.04883,0.00494,59918.5535,0,0,0,0,0,0.02535,0.06678,0.69443,0.21343
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0.95 - 0.99,8.5,40960,1570,0.13718,0.0365,0.00369,45060.48937,0,0,0,0,0,0.21297,0.11102,0.51709,0.15893
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0 - 0.001,9.5,40960,1650,0.10727,0.10325,0.01037,65946.97216,0,0,0,0,0,0,0.05438,0.64254,0.30308
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0.001 - 0.9,9.5,40960,1650,0.10727,0.09396,0.00945,65239.35146,0,0,0,0,0,0,0.05551,0.65589,0.2886
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0.9 - 0.95,9.5,40960,1650,0.10727,0.04871,0.00492,59773.0998,0,0,0,0,0,0.02719,0.06721,0.6927,0.2129
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0.95 - 0.99,9.5,40960,1650,0.10727,0.03549,0.00359,43838.67833,0,0,0,0,0,0.22839,0.11465,0.50251,0.15445
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2020,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2020,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2020,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2020,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2030,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2030,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2030,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2030,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2040,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2040,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2040,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2040,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2050,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2050,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2050,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2050,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2060,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
