API_Name,API_LM_Coeff,API_LM_Interc,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2060,0.5-0.75,6.5,10240,1250,0.05286,0.05008,0.00506,61414.69267,0,0,0,0,0,0.00646,0.06232,0.71229,0.21892
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2060,0.75-1,6.5,10240,1250,0.05286,0.04424,0.00447,54369.95156,0,0,0.00002,0.00014,0.00659,0.09061,0.08114,0.62837,0.19313
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2070,0-0.25,6.5,10240,1250,0.05286,0.05047,0.0051,61884.79778,0,0,0,0,0,0.00053,0.06092,0.7179,0.22065
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2070,0.25-0.5,6.5,10240,1250,0.05286,0.05035,0.00509,61747.51045,0,0,0,0,0,0.00226,0.06133,0.71626,0.22014
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2070,0.5-0.75,6.5,10240,1250,0.05286,0.05008,0.00506,61414.69267,0,0,0,0,0,0.00646,0.06232,0.71229,0.21892
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2070,0.75-1,6.5,10240,1250,0.05286,0.04424,0.00447,54369.95156,0,0,0.00002,0.00014,0.00659,0.09061,0.08114,0.62837,0.19313
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2080,0-0.25,6.5,10240,1250,0.05286,0.05047,0.0051,61884.79778,0,0,0,0,0,0.00053,0.06092,0.7179,0.22065
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2080,0.25-0.5,6.5,10240,1250,0.05286,0.05035,0.00509,61747.51045,0,0,0,0,0,0.00226,0.06133,0.71626,0.22014
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2080,0.5-0.75,6.5,10240,1250,0.05286,0.05008,0.00506,61414.69267,0,0,0,0,0,0.00646,0.06232,0.71229,0.21892
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2080,0.75-1,6.5,10240,1250,0.05286,0.04424,0.00447,54369.95156,0,0,0.00002,0.00014,0.00659,0.09061,0.08114,0.62837,0.19313
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0-0.25,6.5,10240,1250,0.05286,0.05047,0.0051,61884.79778,0,0,0,0,0,0.00053,0.06092,0.7179,0.22065
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0.25-0.5,6.5,10240,1250,0.05286,0.05035,0.00509,61747.51045,0,0,0,0,0,0.00226,0.06133,0.71626,0.22014
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0.5-0.75,6.5,10240,1250,0.05286,0.05008,0.00506,61414.69267,0,0,0,0,0,0.00646,0.06232,0.71229,0.21892
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0.75-1,6.5,10240,1250,0.05286,0.04424,0.00447,54369.95156,0,0,0.00002,0.00014,0.00659,0.09061,0.08114,0.62837,0.19313
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0-0.25,6.5,10240,1250,0.05286,0.05047,0.0051,61884.79778,0,0,0,0,0,0.00053,0.06092,0.7179,0.22065
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0.25-0.5,6.5,10240,1250,0.05286,0.05035,0.00509,61747.51045,0,0,0,0,0,0.00226,0.06133,0.71626,0.22014
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0.5-0.75,6.5,10240,1250,0.05286,0.05008,0.00506,61414.69267,0,0,0,0,0,0.00646,0.06232,0.71229,0.21892
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0.75-1,6.5,10240,1250,0.05286,0.04424,0.00447,54369.95156,0,0,0.00002,0.00014,0.00659,0.09061,0.08114,0.62837,0.19313
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0-0.25,5.5,4096,970,0.02531,0.05002,0.00506,61348.81324,0,0,0,0,0,0.00729,0.06252,0.71151,0.21868
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0.25-0.5,5.5,4096,970,0.02531,0.04844,0.0049,59442.77693,0,0,0,0,0,0.03136,0.06819,0.68876,0.21169
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0.5-0.75,5.5,4096,970,0.02531,0.0446,0.00451,54822.08283,0,0,0,0,0,0.08971,0.08195,0.6336,0.19474
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0.75-1,5.5,4096,970,0.02531,0.02637,0.00267,32795.7622,0,0,0.00023,0.00196,0.04445,0.3345,0.13274,0.37184,0.11428
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0-0.25,5.5,4096,970,0.02531,0.05002,0.00506,61348.81324,0,0,0,0,0,0.00729,0.06252,0.71151,0.21868
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0.25-0.5,5.5,4096,970,0.02531,0.04844,0.0049,59442.77693,0,0,0,0,0,0.03136,0.06819,0.68876,0.21169
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0.5-0.75,5.5,4096,970,0.02531,0.0446,0.00451,54822.08283,0,0,0,0,0,0.08971,0.08195,0.6336,0.19474
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0.75-1,5.5,4096,970,0.02531,0.02637,0.00267,32795.7622,0,0,0.00023,0.00196,0.04445,0.3345,0.13274,0.37184,0.11428
