High_2010_Low,Low_2010_Low,Medium_2010_Low,None_2010_Low,High_2020_Low,Low_2020_Low,Medium_2020_Low,None_2020_Low,High_2030_Low,Low_2030_Low,Medium_2030_Low,None_2030_Low,High_2040_Low,Low_2040_Low,Medium_2040_Low,None_2040_Low,High_2050_Low,Low_2050_Low,Medium_2050_Low,None_2050_Low,High_2010_Main,Low_2010_Main,Medium_2010_Main,None_2010_Main,High_2020_Main,Low_2020_Main,Medium_2020_Main,None_2020_Main,High_2030_Main,Low_2030_Main,Medium_2030_Main,None_2030_Main,High_2040_Main,Low_2040_Main,Medium_2040_Main,None_2040_Main,High_2050_Main,Low_2050_Main,Medium_2050_Main,None_2050_Main,High_2010_High,Low_2010_High,Medium_2010_High,None_2010_High,High_2020_High,Low_2020_High,Medium_2020_High,None_2020_High,High_2030_High,Low_2030_High,Medium_2030_High,None_2030_High,High_2040_High,Low_2040_High,Medium_2040_High,None_2040_High,High_2050_High,Low_2050_High,Medium_2050_High,None_2050_High
0.01915,0.01057,0.01302,0.00934,0.02024,0.01211,0.01443,0.01094,0.02024,0.01211,0.01443,0.01094,0.02024,0.01211,0.01443,0.01094,0.00618,0.00230,0.00341,0.00175,0.01915,0.01057,0.01302,0.00934,0.02024,0.01211,0.01443,0.01094,0.02124,0.01351,0.01572,0.01241,0.02124,0.01351,0.01572,0.01241,0.02220,0.01487,0.01697,0.01382,0.01915,0.01057,0.01302,0.00934,0.02024,0.01211,0.01443,0.01094,0.02124,0.01351,0.01572,0.01241,0.02220,0.01487,0.01697,0.01382,0.02255,0.01537,0.01742,0.01434
0.21069,0.11627,0.14325,0.10278,0.22266,0.13317,0.15874,0.12038,0.22266,0.13317,0.15874,0.12038,0.22266,0.13317,0.15874,0.12038,0.06798,0.02535,0.03753,0.01926,0.21069,0.11627,0.14325,0.10278,0.22266,0.13317,0.15874,0.12038,0.23361,0.14863,0.17291,0.13649,0.23361,0.14863,0.17291,0.13649,0.24420,0.16358,0.18662,0.15206,0.21069,0.11627,0.14325,0.10278,0.22266,0.13317,0.15874,0.12038,0.23361,0.14863,0.17291,0.13649,0.24420,0.16358,0.18662,0.15206,0.24805,0.16902,0.19160,0.15772
0.47831,0.46114,0.46605,0.45869,0.48048,0.46421,0.46886,0.46189,0.48048,0.46421,0.46886,0.46189,0.48048,0.46421,0.46886,0.46189,0.26980,0.18687,0.21056,0.17502,0.47831,0.46114,0.46605,0.45869,0.48048,0.46421,0.46886,0.46189,0.48248,0.46702,0.47144,0.46482,0.48248,0.46702,0.47144,0.46482,0.48440,0.46974,0.47393,0.46765,0.47831,0.46114,0.46605,0.45869,0.48048,0.46421,0.46886,0.46189,0.48248,0.46702,0.47144,0.46482,0.48440,0.46974,0.47393,0.46765,0.48510,0.47073,0.47484,0.46868
0.29185,0.41202,0.37768,0.42918,0.27661,0.39051,0.35797,0.40678,0.27661,0.39051,0.35797,0.40678,0.27661,0.39051,0.35797,0.40678,0.42368,0.45744,0.44780,0.46226,0.29185,0.41202,0.37768,0.42918,0.27661,0.39051,0.35797,0.40678,0.26267,0.37083,0.33993,0.38628,0.26267,0.37083,0.33993,0.38628,0.24920,0.35181,0.32249,0.36646,0.29185,0.41202,0.37768,0.42918,0.27661,0.39051,0.35797,0.40678,0.26267,0.37083,0.33993,0.38628,0.24920,0.35181,0.32249,0.36646,0.24430,0.34489,0.31615,0.35926
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.23236,0.32803,0.30069,0.34170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
