High_2010_Low,Low_2010_Low,Medium_2010_Low,None_2010_Low,High_2020_Low,Low_2020_Low,Medium_2020_Low,None_2020_Low,High_2030_Low,Low_2030_Low,Medium_2030_Low,None_2030_Low,High_2040_Low,Low_2040_Low,Medium_2040_Low,None_2040_Low,High_2050_Low,Low_2050_Low,Medium_2050_Low,None_2050_Low,High_2010_Main,Low_2010_Main,Medium_2010_Main,None_2010_Main,High_2020_Main,Low_2020_Main,Medium_2020_Main,None_2020_Main,High_2030_Main,Low_2030_Main,Medium_2030_Main,None_2030_Main,High_2040_Main,Low_2040_Main,Medium_2040_Main,None_2040_Main,High_2050_Main,Low_2050_Main,Medium_2050_Main,None_2050_Main,High_2010_High,Low_2010_High,Medium_2010_High,None_2010_High,High_2020_High,Low_2020_High,Medium_2020_High,None_2020_High,High_2030_High,Low_2030_High,Medium_2030_High,None_2030_High,High_2040_High,Low_2040_High,Medium_2040_High,None_2040_High,High_2050_High,Low_2050_High,Medium_2050_High,None_2050_High
0.02392,0.00299,0.00897,0.00000,0.02802,0.00350,0.01051,0.00000,0.22147,0.10429,0.13777,0.08755,0.97313,0.96206,0.96523,0.96048,1.00000,1.00000,1.00000,1.00000,0.02392,0.00299,0.00897,0.00000,0.02802,0.00350,0.01051,0.00000,0.07289,0.02648,0.03974,0.01985,0.27289,0.15119,0.18596,0.13380,0.44349,0.33894,0.36881,0.32400,0.02392,0.00299,0.00897,0.00000,0.02802,0.00350,0.01051,0.00000,0.07289,0.02648,0.03974,0.01985,0.13105,0.05896,0.07956,0.04866,0.18746,0.09168,0.11905,0.07800
0.18014,0.08793,0.11427,0.07475,0.19345,0.10079,0.12727,0.08755,0.44264,0.42151,0.42755,0.41850,0.02687,0.03794,0.03477,0.03952,0.00000,0.00000,0.00000,0.00000,0.18014,0.08793,0.11427,0.07475,0.19345,0.10079,0.12727,0.08755,0.25324,0.17668,0.19856,0.16575,0.43366,0.43454,0.43429,0.43467,0.35074,0.37057,0.36490,0.37340,0.18014,0.08793,0.11427,0.07475,0.19345,0.10079,0.12727,0.08755,0.25324,0.17668,0.19856,0.16575,0.31738,0.26496,0.27994,0.25747,0.37351,0.34599,0.35385,0.34206
0.44155,0.40878,0.41814,0.40410,0.44264,0.42151,0.42755,0.41850,0.33589,0.47419,0.43468,0.49395,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44155,0.40878,0.41814,0.40410,0.44264,0.42151,0.42755,0.41850,0.41870,0.43660,0.43148,0.43915,0.29344,0.41427,0.37975,0.43153,0.20576,0.29049,0.26628,0.30259,0.44155,0.40878,0.41814,0.40410,0.44264,0.42151,0.42755,0.41850,0.41870,0.43660,0.43148,0.43915,0.38212,0.43685,0.42121,0.44467,0.34410,0.42831,0.40425,0.44034
0.35438,0.50031,0.45861,0.52115,0.33589,0.47419,0.43468,0.49395,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35438,0.50031,0.45861,0.52115,0.33589,0.47419,0.43468,0.49395,0.25517,0.36024,0.33022,0.37525,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35438,0.50031,0.45861,0.52115,0.33589,0.47419,0.43468,0.49395,0.25517,0.36024,0.33022,0.37525,0.16945,0.23923,0.21929,0.24920,0.09493,0.13401,0.12285,0.13960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
