High_2010_Low,Low_2010_Low,Medium_2010_Low,None_2010_Low,High_2020_Low,Low_2020_Low,Medium_2020_Low,None_2020_Low,High_2030_Low,Low_2030_Low,Medium_2030_Low,None_2030_Low,High_2040_Low,Low_2040_Low,Medium_2040_Low,None_2040_Low,High_2050_Low,Low_2050_Low,Medium_2050_Low,None_2050_Low,High_2010_Main,Low_2010_Main,Medium_2010_Main,None_2010_Main,High_2020_Main,Low_2020_Main,Medium_2020_Main,None_2020_Main,High_2030_Main,Low_2030_Main,Medium_2030_Main,None_2030_Main,High_2040_Main,Low_2040_Main,Medium_2040_Main,None_2040_Main,High_2050_Main,Low_2050_Main,Medium_2050_Main,None_2050_Main,High_2010_High,Low_2010_High,Medium_2010_High,None_2010_High,High_2020_High,Low_2020_High,Medium_2020_High,None_2020_High,High_2030_High,Low_2030_High,Medium_2030_High,None_2030_High,High_2040_High,Low_2040_High,Medium_2040_High,None_2040_High,High_2050_High,Low_2050_High,Medium_2050_High,None_2050_High
0.02093,0.00262,0.00785,0.00000,0.02451,0.00306,0.00919,0.00000,0.02451,0.00306,0.00919,0.00000,0.02451,0.00306,0.00919,0.00000,0.02451,0.00306,0.00919,0.00000,0.02093,0.00262,0.00785,0.00000,0.02451,0.00306,0.00919,0.00000,0.02779,0.00347,0.01042,0.00000,0.02779,0.00347,0.01042,0.00000,0.03097,0.00387,0.01161,0.00000,0.02093,0.00262,0.00785,0.00000,0.02451,0.00306,0.00919,0.00000,0.02779,0.00347,0.01042,0.00000,0.03097,0.00387,0.01161,0.00000,0.03212,0.00401,0.01204,0.00000
0.16697,0.07810,0.10349,0.06541,0.18022,0.08956,0.11546,0.07661,0.18022,0.08956,0.11546,0.07661,0.18022,0.08956,0.11546,0.07661,0.18022,0.08956,0.11546,0.07661,0.16697,0.07810,0.10349,0.06541,0.18022,0.08956,0.11546,0.07661,0.19234,0.10004,0.12641,0.08686,0.19234,0.10004,0.12641,0.08686,0.20406,0.11018,0.13700,0.09677,0.16697,0.07810,0.10349,0.06541,0.18022,0.08956,0.11546,0.07661,0.19234,0.10004,0.12641,0.08686,0.20406,0.11018,0.13700,0.09677,0.20832,0.11386,0.14085,0.10037
0.43687,0.38954,0.40307,0.38278,0.43962,0.40529,0.41510,0.40038,0.43962,0.40529,0.41510,0.40038,0.43962,0.40529,0.41510,0.40038,0.43962,0.40529,0.41510,0.40038,0.43687,0.38954,0.40307,0.38278,0.43962,0.40529,0.41510,0.40038,0.44214,0.41970,0.42611,0.41649,0.44214,0.41970,0.42611,0.41649,0.44458,0.43363,0.43676,0.43206,0.43687,0.38954,0.40307,0.38278,0.43962,0.40529,0.41510,0.40038,0.44214,0.41970,0.42611,0.41649,0.44458,0.43363,0.43676,0.43206,0.44546,0.43869,0.44063,0.43772
0.37523,0.52974,0.48559,0.55181,0.35565,0.50209,0.46025,0.52301,0.35565,0.50209,0.46025,0.52301,0.35565,0.50209,0.46025,0.52301,0.35565,0.50209,0.46025,0.52301,0.37523,0.52974,0.48559,0.55181,0.35565,0.50209,0.46025,0.52301,0.33772,0.47678,0.43705,0.49665,0.33772,0.47678,0.43705,0.49665,0.32039,0.45232,0.41463,0.47117,0.37523,0.52974,0.48559,0.55181,0.35565,0.50209,0.46025,0.52301,0.33772,0.47678,0.43705,0.49665,0.32039,0.45232,0.41463,0.47117,0.31410,0.44343,0.40648,0.46191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
