long,lat,order,group,location_code,County_Code
5.82385962987475,59.645764023054056,1,11.1,county11,11
5.969413400074664,59.578967895020675,2,11.1,county11,11
6.183041740855594,59.58606579175937,3,11.1,county11,11
6.302432552660531,59.76743146487638,4,11.1,county11,11
6.538058938703046,59.842846656525595,5,11.1,county11,11
6.693511072331904,59.822954498331825,6,11.1,county11,11
6.657289461238065,59.70173519366298,7,11.1,county11,11
6.767480243966014,59.70049429287291,8,11.1,county11,11
7.096287399116797,59.782776822428104,9,11.1,county11,11
7.110080241067353,59.70060347289024,10,11.1,county11,11
7.2146666502626955,59.672686975162456,11,11.1,county11,11
7.098724290625119,59.65129363615314,12,11.1,county11,11
7.048585476004287,59.58683083379204,13,11.1,county11,11
6.991842166088986,59.59702911072034,14,11.1,county11,11
6.962960119984813,59.51645118743963,15,11.1,county11,11
7.022880180000381,59.48120124595525,16,11.1,county11,11
6.8828325738790666,59.429297546905495,17,11.1,county11,11
6.932169214305709,59.40026935102145,18,11.1,county11,11
6.865142295426115,59.36840413037311,19,11.1,county11,11
6.824533075323317,59.269883041775195,20,11.1,county11,11
6.847578778621207,59.182671736990585,21,11.1,county11,11
6.939172432993809,59.18191561866131,22,11.1,county11,11
6.881039377824899,59.144588331711915,23,11.1,county11,11
6.903688867536173,59.113403162506316,24,11.1,county11,11
6.560838005494068,58.90995172350083,25,11.1,county11,11
6.608553474297891,58.88007303612497,26,11.1,county11,11
6.518096299731733,58.767413137599135,27,11.1,county11,11
6.572749520211982,58.76528164272133,28,11.1,county11,11
6.622347371855979,58.69668112484742,29,11.1,county11,11
6.43606928878595,58.64932816056607,30,11.1,county11,11
6.4974992104703055,58.609921602666425,31,11.1,county11,11
6.6147213226711425,58.62508665111015,32,11.1,county11,11
6.587697948192533,58.49277062404847,33,11.1,county11,11
6.631556414382171,58.448010827648275,34,11.1,county11,11
6.5603304289783635,58.32740321463653,35,11.1,county11,11
6.382452539217428,58.27794332639932,36,11.1,county11,11
6.324024132746119,58.298266359386076,37,11.1,county11,11
6.350390146072779,58.3261300743842,38,11.1,county11,11
6.2390810583778595,58.32346547743369,39,11.1,county11,11
6.039467975460556,58.378967129398454,40,11.1,county11,11
5.9964786425276,58.476911771808716,41,11.1,county11,11
5.875390407574411,58.46441728229742,42,11.1,county11,11
5.666733353284787,58.550173656924365,43,11.1,county11,11
5.489156616434318,58.75368600519919,44,11.1,county11,11
5.601538438265302,58.879529912565715,45,11.1,county11,11
5.576494808370027,58.959054671458766,46,11.1,county11,11
5.633911634585366,58.89528413241399,47,11.1,county11,11
5.686110924245814,58.92809929132447,48,11.1,county11,11
5.565114631817823,58.98059818171186,49,11.1,county11,11
5.581353054691234,59.0364387626164,50,11.1,county11,11
5.769811220236838,58.96494297831796,51,11.1,county11,11
5.7414572463607385,58.85185447801468,52,11.1,county11,11
5.7860158757018745,58.93868586311141,53,11.1,county11,11
5.851126927107611,58.929340902561,54,11.1,county11,11
5.893868565061422,58.96796957282911,55,11.1,county11,11
5.979000405351559,58.937049328175,56,11.1,county11,11
5.9655606573142075,58.903886082613035,57,11.1,county11,11
6.175314960476393,58.83515863131345,58,11.1,county11,11
6.281425068861511,58.84095867739575,59,11.1,county11,11
6.1166815243765384,58.87578719762646,60,11.1,county11,11
6.086432398481013,58.90089290941337,61,11.1,county11,11
6.108256801322518,58.92352251199404,62,11.1,county11,11
6.072708834662112,58.90352444552068,63,11.1,county11,11
5.99503945184792,58.97112994350144,64,11.1,county11,11
6.036211757335965,58.997279624213725,65,11.1,county11,11
6.090791397664862,58.9857925257328,66,11.1,county11,11
5.949121307360461,59.02345226479738,67,11.1,county11,11
5.889755983446069,59.073711234898255,68,11.1,county11,11
5.9778651024309,59.121512838472775,69,11.1,county11,11
6.17401545725058,59.13993478052259,70,11.1,county11,11
6.022551879205026,59.143561634647114,71,11.1,county11,11
6.192078865029253,59.2583466856157,72,11.1,county11,11
6.562319565289039,59.321065966115505,73,11.1,county11,11
6.360672306063823,59.319823554450394,74,11.1,county11,11
6.157856413746689,59.260615845534566,75,11.1,county11,11
6.11373788314759,59.30281342803557,76,11.1,county11,11
6.273342842468906,59.29761064266541,77,11.1,county11,11
6.2897662226416955,59.318368992901284,78,11.1,county11,11
6.217629753267323,59.390999218252716,79,11.1,county11,11
6.226502292940885,59.323598640949506,80,11.1,county11,11
6.186814869299594,59.31883545025381,81,11.1,county11,11
6.201218257786031,59.34542897708694,82,11.1,county11,11
6.176712405178649,59.31699037509384,83,11.1,county11,11
6.102012447984002,59.321788788532054,84,11.1,county11,11
6.118100377836696,59.37374693294948,85,11.1,county11,11
6.085544223012977,59.326462652203006,86,11.1,county11,11
6.020943629615728,59.3421831354953,87,11.1,county11,11
6.212991193080163,59.44488425352039,88,11.1,county11,11
6.210264580222519,59.40924945589599,89,11.1,county11,11
6.270777266605394,59.50583823463839,90,11.1,county11,11
6.598666254182221,59.55886313640013,91,11.1,county11,11
6.270651236470664,59.51751621363162,92,11.1,county11,11
6.36852493667848,59.64394478899635,93,11.1,county11,11
6.312591104470049,59.641171736663246,94,11.1,county11,11
6.218007562296199,59.473841457450604,95,11.1,county11,11
6.119585331812933,59.405484493753775,96,11.1,county11,11
6.014455040491689,59.410093496852824,97,11.1,county11,11
5.977769790519979,59.352096787824685,98,11.1,county11,11
5.913812803890167,59.44877015907514,99,11.1,county11,11
6.199082829704027,59.47950879698019,100,11.1,county11,11
5.90931917047487,59.47422439216575,101,11.1,county11,11
5.850791002436616,59.54329271192055,102,11.1,county11,11
