Municipality,Pop_Connected_WWTP_>50PE,Pop_Connected_WWTP_>50PE_Chem_Treat,Pop_Connected_WWTP_>50PE_BioChem_Treat,Pop_Connected_WWTP_>50PE_BioChemMechNat_Treat,Pop_Connected_WWTP_>50PE_No_Treat
4215 Lillesand,10610,10610,NA,NA,NA
4216 Birkenes,2906,2688,NA,218,NA
4217 Åmli,759,537,140,82,NA
4218 Iveland,954,NA,954,NA,NA
4219 Evje og Hornnes,1981,NA,NA,1981,NA
4220 Bygland,750,NA,750,0,NA
4221 Valle,511,197,314,NA,NA
4222 Bykle,869,869,NA,NA,NA
4223 Vennesla,14774,NA,14774,NA,NA
4224 Åseral,635,585,50,0,NA
4225 Lyngdal,8727,NA,991,7736,NA
4226 Hægebostad,828,828,NA,NA,NA
4227 Kvinesdal,4043,211,3290,542,NA
4228 Sirdal,1807,1250,557,0,NA
1101 Eigersund,10087,954,NA,9133,NA
1103 Stavanger,135494,20,0,135474,NA
1106 Haugesund,37759,NA,NA,37759,NA
1108 Sandnes,77141,NA,5,77136,NA
1111 Sokndal,2587,NA,NA,2587,0
1112 Lund,1963,150,0,1813,NA
1114 Bjerkreim,1458,1453,0,5,NA
1119 Hå,17500,NA,3500,14000,NA
1120 Klepp,18540,NA,NA,18540,NA
1121 Time,17964,NA,NA,17964,NA
1122 Gjesdal,10734,NA,700,10034,NA
1124 Sola,25300,NA,NA,25300,0
1127 Randaberg,10250,NA,NA,10250,NA
1130 Strand,10065,NA,40,10025,NA
1133 Hjelmeland,1829,NA,NA,1700,129
1134 Suldal,1887,NA,548,1339,NA
1135 Sauda,2129,NA,129,2000,NA
1144 Kvitsøy,195,NA,NA,195,NA
1145 Bokn,537,NA,NA,537,NA
1146 Tysvær,7004,501,NA,6503,NA
1149 Karmøy,30051,NA,NA,28896,1155
1160 Vindafjord,5230,859,NA,4371,NA
4601 Bergen,261346,49981,94575,116790,NA
4602 Kinn,14445,NA,NA,13495,950
4611 Etne,1070,NA,NA,1070,NA
4612 Sveio,2313,NA,NA,2313,NA
4613 Bømlo,7143,NA,NA,7143,NA
4614 Stord,22667,NA,700,9202,12765
4615 Fitjar,1902,NA,NA,1902,NA
4616 Tysnes,1409,NA,NA,1409,NA
4617 Kvinnherad,8711,NA,NA,6510,2201
4618 Ullensvang,7706,NA,1034,6672,NA
4619 Eidfjord,867,3,202,662,NA
4620 Ulvik,754,NA,0,754,NA
4621 Voss,10886,100,10329,457,NA
4622 Kvam,5217,NA,3831,1386,NA
4623 Samnanger,1105,NA,78,1027,NA
4624 Bjørnafjorden,19554,NA,2863,16691,NA
4625 Austevoll,1411,NA,NA,1411,NA
4626 Øygarden,25967,NA,NA,25967,NA
4627 Askøy,24998,NA,780,24087,131
4628 Vaksdal,3011,NA,NA,2111,900
4629 Modalen,80,NA,NA,80,NA
4630 Osterøy,4121,NA,NA,4061,60
4631 Alver,14904,NA,330,14574,NA
4632 Austrheim,1230,NA,NA,1230,NA
4633 Fedje,255,NA,NA,NA,255
4634 Masfjorden,309,NA,NA,309,NA
4635 Gulen,696,NA,NA,696,NA
4636 Solund,250,NA,NA,NA,250
4637 Hyllestad,511,NA,NA,511,NA
4638 Høyanger,2858,NA,NA,2677,181
4639 Vik,1877,NA,NA,1877,NA
4640 Sogndal,9022,NA,NA,9022,NA
4641 Aurland,1876,NA,NA,1876,NA
4642 Lærdal,1525,NA,NA,1525,NA
4643 Årdal,5210,NA,NA,5210,NA
4644 Luster,3223,NA,91,3132,0
4645 Askvoll,1156,NA,NA,405,751
4646 Fjaler,1749,NA,NA,1749,NA
4647 Sunnfjord,15621,65,13796,1760,NA
4648 Bremanger,2308,NA,NA,1340,968
4649 Stad,4428,NA,NA,4144,284
4650 Gloppen,3625,NA,500,3125,NA
